"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","Database_year","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...17","INCLUSION3","WHY3","Notes...20","Country","...22","...23","...24"
"39","Amara","NO","530","Olsson, A.; Allanson, A.; L'Hotellier, F.","Haematological and serum biochemical reference interval for free-ranging northern bettongs (Bettongia tropica) in far north Queensland","AUSTRALIAN VETERINARY JOURNAL","103","401","406","10.1111/avj.13429","2025","BackgroundThe northern bettong, Bettongia tropica, is an endangered potoroid recognised as a specialist consumer of underground ectomycorrhizal fungi important to wet sclerophyll forest at the interface with tropical rainforest. In line with identified recovery objectives of re-establishing populations within the species' former range, a founder population was translocated to a feral predator-free fenced exclosure within previously occupied habitat to the south of its current range. No published reference intervals for haematology and serum biochemistry exist for this species. Establishing reference intervals provides a valuable tool for health assessment of founder animals and investigations into population health and disease during ongoing monitoring of populations.ObjectiveTo develop reference intervals for haematology and serum biochemistry parameters in northern bettongs, Bettongia tropica.MethodsHaematological and serum biochemical reference intervals were determined from 39 healthy northern bettongs captured across the Lamb Range region of north Queensland. Routine haematological and biochemical parameters were analysed, including blood gases and lactate, which indicate metabolic changes associated with stress.ResultsHaematological and serum biochemical parameters were similar to those reported from other potoroids, except for haematocrit and serum protein, which were elevated. Stress parameters were within normal limits. Macropod herpesvirus and Toxoplasma gondii were not detected.ConclusionsTranslocated northern bettongs were in good general health, and data collected at the time of capture were sufficient to establish a preliminary reference interval for the species. This provides baseline information by which to monitor health and welfare of the translocated population, and will contribute to health monitoring of other extant populations.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Amara","YES","257","Philpott, Timothy J.; Danyagri, Gabriel; Wallace, Brian; Frank, Mae","Low-severity wildfire prevents catastrophic impacts on fungal communities and soil carbon stability in a fire-affected Douglas-fir ecosystem","GEODERMA","454",NA,NA,"10.1016/j.geoderma.2025.117189","2025","The growing frequency, extent and severity of wildfire is destabilizing carbon sinks in western North America, underscoring an urgent need to better understand fire impacts on soil carbon stocks, carbon stability, and fungi that regulate soil carbon cycling. Here, we examined the effects of wildfire two years post-burn on soil carbon and fungal communities across a fire severity gradient in Douglas-fir forests in central British Columbia, Canada. We observed no significant differences in soil carbon or fungal community composition between low-severity and unburned stands. In contrast, high-severity wildfire resulted in a 49 % reduction in belowground carbon stocks (20.7 Mg Cha(-1)), a 91 % decline in ectomycorrhizal fungi, 5- to 27-fold increases in pathogenic fungi, and a proliferation of pyrophilous taxa compared to unburned stands. Carbon was lost primarily as light particulate organic matter, whereas impacts to mineral-associated carbon were muted. Pyrogenic carbon preferentially associated with the mineral fraction, modestly increasing (similar to 0.15 Mg Cha(-1)) the proportion of carbon resistant to decay in this stable fraction. Select helotialean (e.g. Phialocephala fortinii) and other pyrophilous taxa were well-correlated with pyrogenic carbon, suggesting this consortium is well-adapted to decompose persistent carbon and will likely continue to mineralize soil carbon even after high severity wildfire. The markedly higher abundance of pathogenic fungi and reduced ectomycorrhizal abundance in stands affected by high-severity fires pose risks to post-fire recovery, particularly if pathogen proliferation reduces conifer fitness. These results highlight that low-severity wildfires have comparatively muted impacts on soil carbon and fungal communities relative to high-severity wildfires, underscoring the importance of management strategies such as thinning and prescribed burns to mitigate the catastrophic effects of high-severity wildfires.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Amara","NO","517","Pinheiro, Alexandra Queirós","Estudo o Efeito das Queimadas Sobre a Dinâmica das Plantas nas FlorestasThe Effects of Fire on Soil Plant Dynamics in Forests, a Review",NA,NA,NA,NA,NA,"2009",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Amara","NO","474","Pontes, Ana Sofia Nunes","Bioprocessamento de Pentoses do Licor de Cozimento ao Sulfito Acido",NA,NA,NA,NA,NA,"2008",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Amara","NO","359","Qu, Laiye; Guo, Mingjie; Makoto, Kobayashi; Watanabe, Yoko; Wu, Gang; Koike, Takayoshi","Effects of different charcoal treatments on the growth of Japanese larch seedlings inoculated with ectomycorrhizal fungi","JOURNAL OF FORESTRY RESEARCH","36",NA,NA,"10.1007/s11676-024-01800-z","2024","To understand the roles of charcoal and ectomycorrhizal fungi (ECMF) on tree growth, which relates to the rehabilitation of forest ecosystems after forest fires, two experiments were set up in this study, the first was to determine the correct amount of charcoal for Japanese larch (Larix kaempferi Sarg.) seedling growth by applying oak charcoal to basic soil medium at ratios of 1:1, 1:2, 1:4 and 1:8 by volume. The second experiment investigated the combined effects of four types of charcoal: derived from oak wood, husks of buckwheat, rice and activated charcoal of larch wood, and two types of ECMF: Pt (Pisolithus tinctorius Pers.) and Ec (Pt + Rhizopogon spp. + Laccaria spp. + Scleroderma spp.) on the growth of Japanese larch seedlings. Our results show that growth was significantly stressed by large amounts charcoal applications. There were significant variations among the four types of charcoal on growth. We concluded that the addition of charcoal was the critical factor that influenced larch growth and ECMF formation. Rice charcoal and Ec stimulates the growth and nitrogen uptake of Japanese larch seedlings, thus the most suitable fungus and charcoal for practices is Ec-rice charcoal (1: 8 charcoal to basic soil).","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Amara","NO","354","Ramos-Zapata, Jose A.; Orellana, Roger; Allen, Edith B.","Mycorrhizal dynamics and dependence of Desmoncus orthacanthos martius (Arecaceae), a native palm of the Yucatan Peninsula, Mexico","INTERCIENCIA","31","364","370",NA,"2006","Field observations were carried out to determine the seasonal patterns and recovery from disturbance by arbuscular mycorrhizal (AM) associations in Desmoncus orthacanthos Martins, eight years following shifting agriculture and in a mature forest. In addition, a greenhouse experiment was performed to determine the relative mycorrhizal dependency (RMD) of this species. Four growth stages were selected, and roots and rhizosphere soil of five individuals from each stage were monitored during one year A seasonal pattern, but no difference in abandoned agriculture and mature forest were found in AM fungal activity. Soil moisture, spores per gram of soil, and percentage of root colonization were not correlated during this year. Root colonization was highest at both sites during the wet season, but was equally high during one dry season observation in the abandoned milpa. Spore density was highest during the dry season. The RMD ranged from 7.8 to 54.9%, with greater biomass of mycorrhizal than non-mycorrhizal plants using P solutions that mimicked field soil concentrations. This suggests that this slow-growing palm is highly dependent on mycorrhizal fungi in local soils and maintains relatively high AM activity even during the dry season. Culture of this slow-growing, understory palm for the rattan industry requires that soils be managed for high levels of AM fungi. The study showed that the standard local practice of shifting agriculture enables sufficient recovery of soil inoculum for growth of D. orthacanthos.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Amara","YES","249","Reid, Hayley A.","Post-Fire Restoration of Single-Leaf Pinyon Pine: Above-And Below-Ground Influences on Seedling Establishment",NA,NA,NA,NA,NA,"2024",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Amara","NO","336","Rosa, Daniel Dias; Bocardo, Paola Jennifer; Souza, Helenize Gabriela de; Furtado, Edson Luiz","Ocorrência de queima foliar em árvores de Santa Bárbara (Melia azedarach) causado por Cercospora meliae","Summa Phytopathologica","35","72","72",NA,"2009",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Amara","YES","193","Runte, Gabriel C.","Missing in the Forest if Not for the Trees: Ectomycorrhizal Neighbor Effects in Temperate Forests",NA,NA,NA,NA,NA,"2025",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Amara","NO","541","Serdar, Feyzan","Karadeniz Bölgesi geleneksel ahşap konutunun su ve ısı etkilerine karşı dış duvar performansının artırılmasına yönelik önlemlerMeasures to Increase Exterior Wall Performance of Traditional Wooden Houses in the Black Sea Region Against Water and Heat Effects",NA,NA,NA,NA,NA,"2019",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Amara","YES","369","Silva, Cassia; Viana, Igor; de Souza, Dalmarcia; Silva, Damiana; Portella, Augustus; Giongo, Marcos","Effect of fire on abundance and fungal diversity in the Cerrado soil","CIENCIA FLORESTAL","31","1910","1929","10.5902/1980509854717","2021","Prescribed burning, with different objectives of management and handling, has been applied more frequently in protected areas. In order to understand the effect of fire, this work aimed to assess the abundance and diversity of fungal microorganisms in response to the use of fire and forest fires. Soil samples before and after burning were collected, with fungi isolated by the plating method, then quantified by counting the collony-forming units (CFU g(-1)) and identified at the gender level. The average CFU g(-1) did not present a significant difference between the evaluated fire regimes, however, there was a significant difference (p<0.05) for diversity, and the two years of fires caused less gender diversity. The genders Aspergillus and Penicillium were present in all sampled areas, with higher CFU g(-1) values, whereas genders Mucor and Rhizopus exhibited the lowest values. The average colony-forming unit (CFU g(-1)) and diversity before and after prescribed burning differed statistically (p < 0.05), while the average CFU g(-1) had a reduction and diversity showed an increase after the passage of fire in all areas evaluated. The greatest reduction in the average CFU g(-1) occurred for the month of July. Pearson's correlation coefficient values obtained demonstrated a significant negative correlation between average CFU g(-1), diversity and temperature (r = 0.70; r = -0.98 and p < 0.05). The diversity variable presented negative correlation with temperature, precipitation and relative humidity (r = -0.56; r = -0.86 and p < 0.05), thus indicating that there was a direct influence of these variables on the abundance and diversity of soil fungi. The soil parameters (aluminum, exchangeable acidity, cation EXCHANGE capacity, calcium and magnesium, phosphorus, pH, base and aluminum saturation) have a direct relation with the soil fungi.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Amara","NO","279","Sit, Christine Y.; Tran, Elan; Sonnier, Gregory; Sheffer, L. P.; Smith, Matthew E.; David, Aaron S.","Environmental Stress Shifts Growth Strategies of Oak and Heath Shrubs in the Florida Scrub","CASTANEA","90","67","79","10.2179/0008-7475.90.1.67","2025","The ability of plant species to mitigate environmental stresses is crucial for maintaining their populations and communities. One potential mitigation approach is a growth strategy shift mediated by intraspecific trait variation. We evaluated potential stress-induced shifts in two growth strategies across six common Florida scrub shrub species in two major groups, oaks (Quercus spp., Fagaceae) and heaths (Ericaceae), along an elevational stress gradient. The acquisitive-conservative gradient explains how plants invest in aboveground tissues to photosynthesize more, while the collaboration gradient explains how plants attain belowground resources using a 'do-it-yourself' strategy or collaboratively 'outsourcing' with mutualistic mycorrhizal fungi. We expected high-stress environments to shift species towards conservative growth with increased symbiont collaboration compared to low-stress environments. For each species, we measured a suite of aboveground (all species) and belowground (oaks only) plant functional traits in two or more different habitats along an elevational stress gradient. Aboveground traits (leaf circularity and stomatal density) significantly decreased with stress across all species analyzed, suggesting a shift to a more conservative strategy. Belowground oak traits showed significant support for a shift to more collaboration with stress, with decreases in specific root length and increases in ectomycorrhizal tip density with stress. Overall, we found that oak and heath shrubs showed limited support for shifting to a conservative strategy with stress and relatively strong support for the oaks to shift to a more collaborative strategy. These findings advance our broader knowledge of how oak and heath species cope with environmental stress via shifting growth strategies.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Amara","YES","95","Taylor, Melanie Kay","Considering Forest Change in Eastern North America From Perspectives of Fire, Biogeochemistry, and Ecosystem Resilience",NA,NA,NA,NA,NA,"2024",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Amara","YES","320","Turiel-Santos, Sara; Calvo, Leonor; Pinto, Pablo Martin; Taboada, Angela","Large wildfires alter the potential capacity of fire-prone Mediterranean pine forests to provide wild edible mushrooms over the long term","TREES FORESTS AND PEOPLE","18",NA,NA,"10.1016/j.tfp.2024.100658","2024","Projected trends of intensified wildfires due to climate warming and fuel-load accumulation are expected to significantly alter fungal diversity, but we know little about how these changes will impact ecosystem services. We aimed to analyze how large wildfires alter the capacity of fire-prone Mediterranean ecosystems dominated by Pinus pinaster Ait. to deliver the provisioning ecosystem service of mushroom production throughout the post-fire succession. We assessed this at early (<10 years), medium (10-20 years), and late (>20 years) stages after fire, compared to an unburned forest. Our results evidenced that large wildfires significantly reduced the capacity of these forests to provide mushroom harvesting opportunities. This adverse effect was most pronounced in the first few years after wildfire but persisted even after 20 years of post-fire succession. The total fungal species richness, abundance, diversity, and productivity at the post-fire successional stages remained lower than in the unburned forest, failing to reach their pre-fire levels even after two decades. However, the presence of commercially valuable edible fungal species, along with their species richness and productivity, began to recover in the medium and late stages after fire. In the immediate aftermath of the fire, saprotrophic fungal species dominated, while mycorrhizal species became more prevalent during the medium and late stages of secondary succession. Additionally, the abundance and productivity of mycorrhizal species in the late succession stage approached those found in the unburned forest. Soil pH and biochemical variables (microbial biomass C and beta-glucosidase enzymatic activity) were key drivers of changes in species composition along the successional stages. This knowledge is essential to guide management solutions aimed at reducing ecosystem service loss and increasing resilience to the new scenario of extreme large wildfire events at shorter fire-free intervals, especially in southern Europe.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Amara","NO","496","Urso-Guimaraes, Maria Virginia; Koch, Ingrid; Devides Castello, Ana Carolina","Diversity of insect galls from Mato Grosso State, Brazil: Cerrado","BIOTA NEOTROPICA","21",NA,NA,"10.1590/1676-0611-BN-2021-1189","2021","The Midwest region of Brazil possesses large areas dominated by the Cerrado that is poorly known concerning insect gall and their interactions. In this study, we inventory the gall morphology, host plants, and the gall makers from Parque Nacional da Chapada dos Guimaraes, Mato Grosso State, in areas of natural vegetation from Cerrado, for the first time. Samplings occurred in two expeditions, July 2012 and January 2013. We characterized 295 morphotypes of insect galls in 140 host plant species, with 89 gall makers; the richest family in host plants was Fabaceae (16.7%), and the species was Protium heptaphyllum (Aubl.) Marchand (Burseraceae, 3.7%). Parque Nacional da Chapada dos Guimaraes is the richest Brazilian cerrado area in gall morphotypes (295) and the second in average morphotypes/host plant species (2.1). Additionally, six genera and 38 species are new records as host plants; two of them, Bernardia similis Pax and K.Hoffm and Ormosia macrophylla Benth., are new occurrences for Mato Grosso State, and other two, Vochysia petraea Warm. and Talisia subalbens (Mart.) Radlk. are listed in the Red List of Threatened Species IUCN. This inventory data represents a testimony of insect-plant interactions in a Brazilian Cerrado area that was consumed by an unprecedented fire in the dry season of 2020.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Amara","NO","170","Weise, Armin","Patterns and Drivers of Wiregrass Gap Longleaf Pine (Pinus palustris Mill.) Woodland Succession as Part of Restoration Efforts",NA,NA,NA,NA,NA,"2023",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Amara","NO","465","Zahra, Shafia","The Potency of Insect and Fungi in Baluran National Park as Natural Enemies of Invasive Vachellia nilotica and Its Future Control Strategies",NA,NA,NA,NA,NA,"2019",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Amara","NO","293","Zárate, Néstor Antonio Heredia; Schwan-Estrada, Kátia Regina Freitas; Vieira, Maria do Carmo; Helmich, Marcelo; Macedo, Rodrigo Vargas; Heid, Diego Menani","Brotação e produção de mandioquinha-salsa 'Amarela de Carandaí', proveniente de mudas desinfectadas com óleo de eucalipto e enraizadas em bandejas","Bragantia","69","871","875",NA,"2010","This work aimed to evaluate the sprouting of cuttings and yield of 'Amarela de Carandaí' peruvian carrot plants from cuttings which were disinfected with eucalyptus oil and rooted in polyethylene trays. In pre-rooting on trays, the Plan Puebla III experimental matrix was used to combine doses of eucalyptus oil and immersion periods, respectively: 0.6%/36 s; 1.4%/36 s; 0.6%/84 s; 1.4%/84 s; 1.0%/60 s; 0.1%/36 s; 1.9%/84 s; 0.6%/6 s and 1.4%/114 s, added a control (0.0%/0 s). At field, ten cuttings per plot and six treatments were used: 0.6%/36 s; 0.6%/84 s; 1.0%/60 s; 0.1%/36 s; 0.6%/6 s and 0.0%/0 s. Highest percentages of sprouted cuttings and height of plants were obtained in treatments with doses of eucalyptus oil smaller than 1.0% and the control. The highest fresh weight of commercial roots, which were harvested at 264 days after planting, were obtained in 0.6%/36 s, 0.6%/84 s and 1.0%/60 s treatments. There was burning of leaves caused by Alternaria sp. and Septoria sp., with more intensity on 111 days after planting, which showed theirselves associated and without possibility of isolate quantification. It was concluded that, to achieve higher yield of commercial roots, it must disinfect the cuttings with aqueous solution with doses of 0.6% or 1.0% of eucalyptus oil and immersion for periods of 36 s to 84 s, with harvest at 264 days after planting.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Amara","NO","274","Zema, Demetrio Antonio; Carmona-Yanez, Maria Dolores; Plaza-Alvarez, Pedro Antonio; Lucas-Borja, Manuel Esteban","A new index to estimate ecosystem multifunctionality: Theoretical approach and an application to a burned forest of Central Eastern Spain","JOURNAL OF ENVIRONMENTAL MANAGEMENT","373",NA,NA,"10.1016/j.jenvman.2024.123655","2025","Several indexes have been proposed in the scientific literature and widely applied in many environments to evaluate the ecosystem multifunctionality. However, some indexes are based on the simple average of the environmental indicators (EIs) and ecosystem functions (EFs), which do not consider the ecosystem complexity and mutual relationships among the composing variables. In order to overcome these limitations, this study proposes a new method that modifies the ecosystem multifunctionality (EMF) index proposed by Maestre et al. (2012) on Science (hereafter original EMF). From a theoretical point of view, this index (weighted EMF index or WEMF), which is based on the Principal Component Analysis, retains only the most influential EIs on EMF, and discards the EFs with lower environmental and statistical significance. Moreover, the method can take into account the combined effects of some EIs that synergistically drive the ecosystem functions, and estimates the quantitative influence of each EF on the ecosystem multifunctionality. The application of the WEMF to a forest ecosystem of Central Eastern Spain affected by a wildfire and then subjected to post-fire management (mulching with wood chips or wheat straw) has shown that: i) the original EMF index gives non-significant differences in ecosystem multifunctionality among the experimented soil conditions, which contrasts evidence from the literature; and ii) the WEMF captures the severe disturbance due to wildfire on ecosystem multifunctionality compared to the unburned sites, giving lower importance to those EFs that marginally affect the EMF. Despite the encouraging validation attempt, the results of this study should be considered preliminary for a wider applicability of the WEMF in other environmental contexts.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
